40,100,1.8862,5.1831,3.297
60,100,0.020075,5.9705,5.9505
80,100,3.0882,6.7579,3.6697
100,100,4.287,7.5453,3.2583
120,100,5.0155,8.3327,3.3172
140,100,6.3623,9.1201,2.7579
160,100,7.9392,9.9075,1.9683
180,100,8.1978,10.695,2.4972
200,100,8.0482,11.482,3.4342
80,40,9.5,0,-9.5
80,60,3.9457,4.9103,0.96459
80,80,3.3997,5.8772,2.4776
80,100,3.0882,6.7579,3.6697
80,120,0.020673,7.6038,7.5832
80,140,1.957,8.4317,6.4747
80,160,3.1589,9.2488,6.0898
80,180,4.2136,10.059,5.8454
80,200,5.193,10.865,5.6716
40,120,2.9887,6.029,3.0403
60,120,1.9258,6.8164,4.8906
80,120,0.020673,7.6038,7.5832
100,120,3.2321,8.3912,5.1591
120,120,4.6089,9.1786,4.5698
140,120,5.1424,9.966,4.8236
160,120,6.6271,10.753,4.1264
180,120,8.4067,11.541,3.1341
200,120,8.1358,12.328,4.1924
40,200,6.622,9.2897,2.6678
60,200,5.9554,10.077,4.1218
80,200,5.193,10.865,5.6716
100,200,4.3139,11.652,7.3381
120,200,3.2813,12.439,9.158
140,200,2.0209,13.227,11.206
160,200,0.021715,14.014,13.992
180,200,6.1046,14.802,8.6969
200,200,6.3264,15.589,9.2625
